"","SocCode","n","SOC Broad Occupation","SOC Minor Occupation","OCCSOC","ACS_occupation"
"1","11-1021",533,"11-1020","11-1000","11-1021","11-1021"
"2","11-2011",533,"11-2010","11-2000","11-2011","11-2011"
"3","11-2021",533,"11-2020","11-2000","11-2021","11-2021"
"4","11-2022",533,"11-2020","11-2000","11-2022","11-2022"
"5","11-3012",533,"11-3010","11-3000","11-3012","11-3012"
"6","11-3013",533,"11-3010","11-3000","11-3013","11-3013"
"7","11-3021",533,"11-3020","11-3000","11-3021","11-3021"
"8","11-3031",533,"11-3030","11-3000","11-3031","11-3031"
"9","11-3051",533,"11-3050","11-3000","11-3051","11-3051"
"10","11-3061",533,"11-3060","11-3000","11-3061","11-3061"
"11","11-3071",533,"11-3070","11-3000","11-3071","11-3071"
"12","11-3111",533,"11-3110","11-3000","11-3111","11-3111"
"13","11-3121",533,"11-3120","11-3000","11-3121","11-3121"
"14","11-3131",533,"11-3130","11-3000","11-3131","11-3131"
"15","11-9013",533,"11-9010","11-9000","11-9013","11-9013"
"16","11-9021",533,"11-9020","11-9000","11-9021","11-9021"
"17","11-9041",533,"11-9040","11-9000","11-9041","11-9041"
"18","11-9051",533,"11-9050","11-9000","11-9051","11-9051"
"19","11-9081",533,"11-9080","11-9000","11-9081","11-9081"
"20","11-9111",533,"11-9110","11-9000","11-9111","11-9111"
"21","11-9121",533,"11-9120","11-9000","11-9121","11-9121"
"22","11-9141",533,"11-9140","11-9000","11-9141","11-9141"
"23","11-9151",533,"11-9150","11-9000","11-9151","11-9151"
"24","11-9161",533,"11-9160","11-9000","11-9161","11-9161"
"25","13-1011",533,"13-1010","13-1000","13-1011","13-1011"
"26","13-1021",533,"13-1020","13-1000","13-1021","13-1021"
"27","13-1022",533,"13-1020","13-1000","13-1022","13-1022"
"28","13-1023",533,"13-1020","13-1000","13-1023","13-1023"
"29","13-1041",533,"13-1040","13-1000","13-1041","13-1041"
"30","13-1051",533,"13-1050","13-1000","13-1051","13-1051"
"31","13-1081",533,"13-1080","13-1000","13-1081","13-1081"
"32","13-1082",533,"13-1080","13-1000","13-1082","13-1082"
"33","13-1111",533,"13-1110","13-1000","13-1111","13-1111"
"34","13-1121",533,"13-1120","13-1000","13-1121","13-1121"
"35","13-1131",533,"13-1130","13-1000","13-1131","13-1131"
"36","13-1141",533,"13-1140","13-1000","13-1141","13-1141"
"37","13-1151",533,"13-1150","13-1000","13-1151","13-1151"
"38","13-1161",533,"13-1160","13-1000","13-1161","13-1161"
"39","13-1199",533,"13-1190","13-1000","13-1199","13-1199"
"40","13-2011",533,"13-2010","13-2000","13-2011","13-2011"
"41","13-2031",533,"13-2030","13-2000","13-2031","13-2031"
"42","13-2041",533,"13-2040","13-2000","13-2041","13-2041"
"43","13-2051",533,"13-2050","13-2000","13-2051","13-2051"
"44","13-2052",533,"13-2050","13-2000","13-2052","13-2052"
"45","13-2053",533,"13-2050","13-2000","13-2053","13-2053"
"46","13-2061",533,"13-2060","13-2000","13-2061","13-2061"
"47","13-2081",533,"13-2080","13-2000","13-2081","13-2081"
"48","13-2082",533,"13-2080","13-2000","13-2082","13-2082"
"49","15-1211",533,"15-1210","15-1000","15-1211","15-1211"
