"","OCCSOC","Soc_last1","Soc_last2","Soc_last3"
"1","11-91XX","11-91X0","11-9100","11-9000"
"2","53-3030","53-3030","53-3000","53-3000"
"3","29-1141","29-1140","29-1100","29-1000"
"4","41-2031","41-2030","41-2000","41-2000"
"5","25-2020","25-2020","25-2000","25-2000"
"6","41-2010","41-2010","41-2000","41-2000"
"7","43-4051","43-4050","43-4000","43-4000"
"8","41-1011","41-1010","41-1000","41-1000"
"9","53-7062","53-7060","53-7000","53-7000"
"10","37-201X","37-2010","37-2000","37-2000"
"11","43-6014","43-6010","43-6000","43-6000"
"12","35-2010","35-2010","35-2000","35-2000"
"13","15-1252","15-1250","15-1200","15-1000"
"14","35-3031","35-3030","35-3000","35-3000"
"15","47-2061","47-2060","47-2000","47-2000"
"16","13-2011","13-2010","13-2000","13-2000"
"17","53-7065","53-7060","53-7000","53-7000"
"18","11-10XX","11-10X0","11-1000","11-1000"
"19","31-1122","31-1120","31-1100","31-1000"
"20","25-1000","25-1000","25-1000","25-1000"
"21","11-3031","11-3030","11-3000","11-3000"
"22","25-9040","25-9040","25-9000","25-9000"
"23","51-91XX","51-91X0","51-9100","51-9000"
"24","31-1131","31-1130","31-1100","31-1000"
"25","37-2012","37-2010","37-2000","37-2000"
"26","43-9061","43-9060","43-9000","43-9000"
"27","25-2030","25-2030","25-2000","25-2000"
"28","43-4171","43-4170","43-4100","43-4000"
"29","23-10XX","23-10X0","23-1000","23-1000"
"30","41-4010","41-4010","41-4000","41-4000"
"31","47-2031","47-2030","47-2000","47-2000"
"32","11-1021","11-1020","11-1000","11-1000"
"33","43-3031","43-3030","43-3000","43-3000"
"34","37-3011","37-3010","37-3000","37-3000"
"35","43-1011","43-1010","43-1000","43-1000"
"36","41-1012","41-1010","41-1000","41-1000"
"37","13-1111","13-1110","13-1100","13-1000"
"38","11-9021","11-9020","11-9000","11-9000"
"39","51-20XX","51-20X0","51-2000","51-2000"
"40","11-9030","11-9030","11-9000","11-9000"
"41","13-1070","13-1070","13-1000","13-1000"
"42","11-9051","11-9050","11-9000","11-9000"
