"","SocCode","Soc_last1","Soc_last2","Soc_last3"
"1","11-1011","11-1010","11-1000","11-1000"
"2","11-1021","11-1020","11-1000","11-1000"
"3","11-1031","11-1030","11-1000","11-1000"
"4","11-2011","11-2010","11-2000","11-2000"
"5","11-2021","11-2020","11-2000","11-2000"
"6","11-2022","11-2020","11-2000","11-2000"
"7","11-2032","11-2030","11-2000","11-2000"
"8","11-2033","11-2030","11-2000","11-2000"
"9","11-3012","11-3010","11-3000","11-3000"
"10","11-3013","11-3010","11-3000","11-3000"
"11","11-3021","11-3020","11-3000","11-3000"
"12","11-3031","11-3030","11-3000","11-3000"
"13","11-3051","11-3050","11-3000","11-3000"
"14","11-3061","11-3060","11-3000","11-3000"
"15","11-3071","11-3070","11-3000","11-3000"
"16","11-3111","11-3110","11-3100","11-3000"
"17","11-3121","11-3120","11-3100","11-3000"
"18","11-3131","11-3130","11-3100","11-3000"
"19","11-9013","11-9010","11-9000","11-9000"
"20","11-9021","11-9020","11-9000","11-9000"
"21","11-9031","11-9030","11-9000","11-9000"
"22","11-9032","11-9030","11-9000","11-9000"
"23","11-9033","11-9030","11-9000","11-9000"
"24","11-9039","11-9030","11-9000","11-9000"
"25","11-9041","11-9040","11-9000","11-9000"
"26","11-9051","11-9050","11-9000","11-9000"
"27","11-9071","11-9070","11-9000","11-9000"
"28","11-9072","11-9070","11-9000","11-9000"
"29","11-9081","11-9080","11-9000","11-9000"
"30","11-9111","11-9110","11-9100","11-9000"
"31","11-9121","11-9120","11-9100","11-9000"
"32","11-9131","11-9130","11-9100","11-9000"
"33","11-9141","11-9140","11-9100","11-9000"
"34","11-9151","11-9150","11-9100","11-9000"
"35","11-9161","11-9160","11-9100","11-9000"
"36","11-9171","11-9170","11-9100","11-9000"
"37","11-9179","11-9170","11-9100","11-9000"
"38","11-9199","11-9190","11-9100","11-9000"
"39","13-1011","13-1010","13-1000","13-1000"
"40","13-1021","13-1020","13-1000","13-1000"
"41","13-1022","13-1020","13-1000","13-1000"
"42","13-1023","13-1020","13-1000","13-1000"
"43","13-1031","13-1030","13-1000","13-1000"
"44","13-1032","13-1030","13-1000","13-1000"
"45","13-1041","13-1040","13-1000","13-1000"
"46","13-1051","13-1050","13-1000","13-1000"
"47","13-1071","13-1070","13-1000","13-1000"
"48","13-1074","13-1070","13-1000","13-1000"
"49","13-1075","13-1070","13-1000","13-1000"
"50","13-1081","13-1080","13-1000","13-1000"
"51","13-1082","13-1080","13-1000","13-1000"
"52","13-1111","13-1110","13-1100","13-1000"
"53","13-1121","13-1120","13-1100","13-1000"
"54","13-1131","13-1130","13-1100","13-1000"
"55","13-1141","13-1140","13-1100","13-1000"
"56","13-1151","13-1150","13-1100","13-1000"
"57","13-1161","13-1160","13-1100","13-1000"
"58","13-1199","13-1190","13-1100","13-1000"
"59","13-2011","13-2010","13-2000","13-2000"
"60","13-2022","13-2020","13-2000","13-2000"
"61","13-2023","13-2020","13-2000","13-2000"
"62","13-2031","13-2030","13-2000","13-2000"
"63","13-2041","13-2040","13-2000","13-2000"
"64","13-2051","13-2050","13-2000","13-2000"
"65","13-2052","13-2050","13-2000","13-2000"
"66","13-2053","13-2050","13-2000","13-2000"
"67","13-2054","13-2050","13-2000","13-2000"
"68","13-2061","13-2060","13-2000","13-2000"
"69","13-2071","13-2070","13-2000","13-2000"
"70","13-2072","13-2070","13-2000","13-2000"
"71","13-2081","13-2080","13-2000","13-2000"
"72","13-2082","13-2080","13-2000","13-2000"
"73","13-2099","13-2090","13-2000","13-2000"
"74","15-1211","15-1210","15-1200","15-1000"
"75","15-1212","15-1210","15-1200","15-1000"
"76","15-1221","15-1220","15-1200","15-1000"
"77","15-1231","15-1230","15-1200","15-1000"
"78","15-1232","15-1230","15-1200","15-1000"
"79","15-1241","15-1240","15-1200","15-1000"
"80","15-1242","15-1240","15-1200","15-1000"
"81","15-1243","15-1240","15-1200","15-1000"
"82","15-1244","15-1240","15-1200","15-1000"
"83","15-1251","15-1250","15-1200","15-1000"
"84","15-1252","15-1250","15-1200","15-1000"
"85","15-1253","15-1250","15-1200","15-1000"
"86","15-1254","15-1250","15-1200","15-1000"
"87","15-1255","15-1250","15-1200","15-1000"
"88","15-1299","15-1290","15-1200","15-1000"
"89","15-2011","15-2010","15-2000","15-2000"
"90","15-2021","15-2020","15-2000","15-2000"
"91","15-2031","15-2030","15-2000","15-2000"
"92","15-2041","15-2040","15-2000","15-2000"
"93","15-2051","15-2050","15-2000","15-2000"
"94","15-2099","15-2090","15-2000","15-2000"
"95","17-1011","17-1010","17-1000","17-1000"
"96","17-1012","17-1010","17-1000","17-1000"
"97","17-1021","17-1020","17-1000","17-1000"
"98","17-1022","17-1020","17-1000","17-1000"
"99","17-2011","17-2010","17-2000","17-2000"
"100","17-2021","17-2020","17-2000","17-2000"
"101","17-2031","17-2030","17-2000","17-2000"
"102","17-2041","17-2040","17-2000","17-2000"
"103","17-2051","17-2050","17-2000","17-2000"
"104","17-2061","17-2060","17-2000","17-2000"
"105","17-2071","17-2070","17-2000","17-2000"
"106","17-2072","17-2070","17-2000","17-2000"
"107","17-2081","17-2080","17-2000","17-2000"
"108","17-2111","17-2110","17-2100","17-2000"
"109","17-2112","17-2110","17-2100","17-2000"
"110","17-2121","17-2120","17-2100","17-2000"
"111","17-2131","17-2130","17-2100","17-2000"
"112","17-2141","17-2140","17-2100","17-2000"
"113","17-2151","17-2150","17-2100","17-2000"
"114","17-2161","17-2160","17-2100","17-2000"
"115","17-2171","17-2170","17-2100","17-2000"
"116","17-2199","17-2190","17-2100","17-2000"
"117","17-3011","17-3010","17-3000","17-3000"
"118","17-3012","17-3010","17-3000","17-3000"
"119","17-3013","17-3010","17-3000","17-3000"
"120","17-3019","17-3010","17-3000","17-3000"
"121","17-3021","17-3020","17-3000","17-3000"
"122","17-3022","17-3020","17-3000","17-3000"
"123","17-3023","17-3020","17-3000","17-3000"
"124","17-3024","17-3020","17-3000","17-3000"
"125","17-3025","17-3020","17-3000","17-3000"
"126","17-3026","17-3020","17-3000","17-3000"
"127","17-3027","17-3020","17-3000","17-3000"
"128","17-3028","17-3020","17-3000","17-3000"
"129","17-3029","17-3020","17-3000","17-3000"
"130","17-3031","17-3030","17-3000","17-3000"
"131","19-1011","19-1010","19-1000","19-1000"
"132","19-1012","19-1010","19-1000","19-1000"
"133","19-1013","19-1010","19-1000","19-1000"
"134","19-1021","19-1020","19-1000","19-1000"
"135","19-1022","19-1020","19-1000","19-1000"
"136","19-1023","19-1020","19-1000","19-1000"
"137","19-1029","19-1020","19-1000","19-1000"
"138","19-1031","19-1030","19-1000","19-1000"
"139","19-1032","19-1030","19-1000","19-1000"
"140","19-1041","19-1040","19-1000","19-1000"
"141","19-1042","19-1040","19-1000","19-1000"
"142","19-1099","19-1090","19-1000","19-1000"
"143","19-2011","19-2010","19-2000","19-2000"
"144","19-2012","19-2010","19-2000","19-2000"
"145","19-2021","19-2020","19-2000","19-2000"
"146","19-2031","19-2030","19-2000","19-2000"
"147","19-2032","19-2030","19-2000","19-2000"
"148","19-2041","19-2040","19-2000","19-2000"
"149","19-2042","19-2040","19-2000","19-2000"
"150","19-2043","19-2040","19-2000","19-2000"
"151","19-2099","19-2090","19-2000","19-2000"
"152","19-3011","19-3010","19-3000","19-3000"
"153","19-3022","19-3020","19-3000","19-3000"
"154","19-3032","19-3030","19-3000","19-3000"
"155","19-3033","19-3030","19-3000","19-3000"
"156","19-3034","19-3030","19-3000","19-3000"
"157","19-3039","19-3030","19-3000","19-3000"
"158","19-3041","19-3040","19-3000","19-3000"
"159","19-3051","19-3050","19-3000","19-3000"
"160","19-3091","19-3090","19-3000","19-3000"
"161","19-3092","19-3090","19-3000","19-3000"
"162","19-3093","19-3090","19-3000","19-3000"
"163","19-3094","19-3090","19-3000","19-3000"
"164","19-3099","19-3090","19-3000","19-3000"
